Date;Heure;Profondeur;Vitesse;Effort
22/10/2025;13:26:00;79,19924899;22,7;169,2879701
22/10/2025;13:26:01;79,60229861;22,5;169,2879701
22/10/2025;13:26:02;80,00534822;22,5;144,4503529
22/10/2025;13:26:03;80,40839783;22,7;144,4503529
22/10/2025;13:26:04;80,71068504;22,4;132,0315443
22/10/2025;13:26:05;81,11373466;22,5;150,3329464
22/10/2025;13:26:06;81,51678427;22,5;144,4503529
22/10/2025;13:26:07;81,91983388;22,5;150,3329464
22/10/2025;13:26:08;82,22212109;22,5;163,4053766
22/10/2025;13:26:09;82,62517071;22,5;137,9141378
22/10/2025;13:26:10;83,02822032;22,4;175,8241852
22/10/2025;13:26:11;83,43126993;22,7;169,2879701
22/10/2025;13:26:12;83,73355714;22,4;150,3329464
22/10/2025;13:26:13;84,13660676;22,5;150,3329464
22/10/2025;13:26:14;84,53965637;22,6;144,4503529
22/10/2025;13:26:15;84,94270598;22,3;163,4053766
22/10/2025;13:26:16;85,24499319;22,5;150,3329464
22/10/2025;13:26:17;85,64804281;22,4;156,8691615
22/10/2025;13:26:18;86,05109242;22,5;156,8691615
22/10/2025;13:26:19;86,45414203;22,6;144,4503529
22/10/2025;13:26:20;86,75642924;22,4;169,2879701
22/10/2025;13:26:21;87,15947885;22,7;169,2879701
22/10/2025;13:26:22;87,56252847;22,5;137,9141378
22/10/2025;13:26:23;87,96557808;22,5;144,4503529
22/10/2025;13:26:24;88,26786529;22,6;144,4503529
22/10/2025;13:26:25;88,6709149;22,4;163,4053766
22/10/2025;13:26:26;89,07396452;22,5;150,3329464
22/10/2025;13:26:27;89,47701413;22,5;169,2879701
22/10/2025;13:26:28;89,77930134;22,4;150,3329464
22/10/2025;13:26:29;90,18235095;22,6;144,4503529
22/10/2025;13:26:30;90,58540057;22,5;163,4053766
22/10/2025;13:26:31;90,98845018;22,5;169,2879701
22/10/2025;13:26:32;91,29073739;22,7;163,4053766
22/10/2025;13:26:33;91,693787;22,4;163,4053766
22/10/2025;13:26:34;92,09683662;22,5;144,4503529
22/10/2025;13:26:35;92,49988623;22,6;150,3329464
22/10/2025;13:26:36;92,80217344;22,4;137,9141378
22/10/2025;13:26:37;93,20522305;22,6;163,4053766
22/10/2025;13:26:38;93,60827267;22,4;150,3329464
22/10/2025;13:26:39;94,01132228;22,5;156,8691615
22/10/2025;13:26:40;94,31360949;22,6;169,2879701
22/10/2025;13:26:41;94,7166591;22,5;150,3329464
22/10/2025;13:26:42;95,11970872;22,7;169,2879701
22/10/2025;13:26:43;95,52275833;22,5;150,3329464
22/10/2025;13:26:44;95,82504554;22,5;156,8691615
22/10/2025;13:26:45;96,22809515;22,6;150,3329464
22/10/2025;13:26:46;96,63114476;22,5;150,3329464
22/10/2025;13:26:47;97,03419438;22,5;169,2879701
22/10/2025;13:26:48;97,33648159;22,6;169,2879701
22/10/2025;13:26:49;97,7395312;22,5;156,8691615
22/10/2025;13:26:50;98,14258081;22,7;181,7067787
22/10/2025;13:26:51;98,54563043;22,5;137,9141378
22/10/2025;13:26:52;98,94868004;22,5;163,4053766
22/10/2025;13:26:53;99,25096725;22,7;150,3329464
22/10/2025;13:26:54;99,65401686;22,3;163,4053766
22/10/2025;13:26:55;100,0570665;22,5;156,8691615
22/10/2025;13:26:56;100,3593537;22,5;144,4503529
22/10/2025;13:26:57;100,7624033;22,4;163,4053766
22/10/2025;13:26:58;101,1654529;22,6;175,8241852
22/10/2025;13:26:59;101,5685025;22,4;163,4053766
22/10/2025;13:27:00;101,9715521;22,5;175,8241852
22/10/2025;13:27:01;102,2738393;22,6;156,8691615
22/10/2025;13:27:02;102,676889;22,5;169,2879701
22/10/2025;13:27:03;103,0799386;22,5;175,8241852
22/10/2025;13:27:04;103,4829882;22,5;175,8241852
22/10/2025;13:27:05;103,7852754;22,4;169,2879701
22/10/2025;13:27:06;104,188325;22,6;144,4503529
22/10/2025;13:27:07;104,5913746;22,5;156,8691615
22/10/2025;13:27:08;104,9944242;22,5;175,8241852
22/10/2025;13:27:09;105,2967114;22,7;169,2879701
22/10/2025;13:27:10;105,6997611;22,4;181,7067787
22/10/2025;13:27:11;106,1028107;22,7;163,4053766
22/10/2025;13:27:12;106,5058603;22,5;163,4053766
22/10/2025;13:27:13;106,8081475;22,4;163,4053766
22/10/2025;13:27:14;107,2111971;22,6;175,8241852
22/10/2025;13:27:15;107,6142467;22,4;163,4053766
22/10/2025;13:27:16;108,0172963;22,5;163,4053766
22/10/2025;13:27:17;108,3195835;22,5;156,8691615
22/10/2025;13:27:18;108,7226332;22,5;163,4053766
22/10/2025;13:27:19;109,1256828;22,7;188,2429938
22/10/2025;13:27:20;109,5287324;22,5;175,8241852
22/10/2025;13:27:21;109,8310196;22,4;169,2879701
22/10/2025;13:27:22;110,2340692;22,6;169,2879701
22/10/2025;13:27:23;110,6371188;22,4;169,2879701
22/10/2025;13:27:24;111,0401684;22,5;169,2879701
22/10/2025;13:27:25;111,3424556;22,7;169,2879701
22/10/2025;13:27:26;111,7455053;22,3;169,2879701
22/10/2025;13:27:27;112,1485549;22,7;175,8241852
22/10/2025;13:27:28;112,5516045;22,5;163,4053766
22/10/2025;13:27:29;112,8538917;22,6;181,7067787
22/10/2025;13:27:30;113,2569413;22,7;163,4053766
22/10/2025;13:27:31;113,6599909;22,4;169,2879701
22/10/2025;13:27:32;114,0630405;22,6;156,8691615
22/10/2025;13:27:33;114,3653277;22,5;156,8691615
22/10/2025;13:27:34;114,7683774;22,5;163,4053766
22/10/2025;13:27:35;115,171427;22,5;163,4053766
22/10/2025;13:27:36;115,5744766;22,4;163,4053766
22/10/2025;13:27:37;115,8767638;22,5;181,7067787
22/10/2025;13:27:38;116,2798134;22,6;181,7067787
22/10/2025;13:27:39;116,682863;22,5;194,7792088
22/10/2025;13:27:40;117,0859126;22,7;181,7067787
22/10/2025;13:27:41;117,3881998;22,5;169,2879701
22/10/2025;13:27:42;117,7912495;22,4;181,7067787
22/10/2025;13:27:43;118,1942991;22,6;169,2879701
22/10/2025;13:27:44;118,5973487;22,4;163,4053766
22/10/2025;13:27:45;118,8996359;22,5;175,8241852
22/10/2025;13:27:46;119,3026855;22,7;175,8241852
22/10/2025;13:27:47;119,7057351;22,4;175,8241852
22/10/2025;13:27:48;120,1087847;22,7;181,7067787
22/10/2025;13:27:49;120,4110719;22,5;188,2429938
22/10/2025;13:27:50;120,8141216;22,6;169,2879701
22/10/2025;13:27:51;121,2171712;22,5;163,4053766
22/10/2025;13:27:52;121,6202208;22,4;188,2429938
22/10/2025;13:27:53;121,922508;22,5;175,8241852
22/10/2025;13:27:54;122,3255576;22,5;188,2429938
22/10/2025;13:27:55;122,7286072;22,4;169,2879701
22/10/2025;13:27:56;123,1316568;22,7;194,7792088
22/10/2025;13:27:57;123,433944;22,5;169,2879701
22/10/2025;13:27:58;123,8369937;22,5;188,2429938
22/10/2025;13:27:59;124,2400433;22,7;175,8241852
22/10/2025;13:28:00;124,6430929;22,4;181,7067787
22/10/2025;13:28:01;125,0461425;22,5;163,4053766
22/10/2025;13:28:02;125,3484297;22,5;169,2879701
22/10/2025;13:28:03;125,7514793;22,4;175,8241852
22/10/2025;13:28:04;126,1545289;22,6;175,8241852
22/10/2025;13:28:05;126,5575785;22,5;175,8241852
22/10/2025;13:28:06;126,8598658;22,6;181,7067787
22/10/2025;13:28:07;127,2629154;22,6;175,8241852
22/10/2025;13:28:08;127,665965;22,5;194,7792088
22/10/2025;13:28:09;128,0690146;22,7;188,2429938
22/10/2025;13:28:10;128,3713018;22,4;181,7067787
22/10/2025;13:28:11;128,7743514;22,5;213,080611
22/10/2025;13:28:12;129,177401;22,6;175,8241852
22/10/2025;13:28:13;129,5804506;22,5;169,2879701
22/10/2025;13:28:14;129,8827379;22,5;169,2879701
22/10/2025;13:28:15;130,2857875;22,7;175,8241852
22/10/2025;13:28:16;130,6888371;22,4;194,7792088
22/10/2025;13:28:17;131,0918867;22,7;181,7067787
22/10/2025;13:28:18;131,3941739;22,5;194,7792088
22/10/2025;13:28:19;131,7972235;22,6;194,7792088
22/10/2025;13:28:20;132,2002731;22,6;175,8241852
